date,dive_site,depth_start,depth_end,temperature_c,rug_5m,rug_10m,rug_15m,rug_20m,rug_25m,rug_30,pa_0_5,pa_6_10,pa_11_20,pa_21_30,pa_31_40,pa_40,total_pa,bu_0_5,bu_6_10,bu_11_20,bu_21_30,bu_31_40,bu_40,total_bu,da_0_5,da_6_10,da_11_20,da_21_30,da_31_40,da_40,total_da,sn_0_5,sn_6_10,sn_11_20,sn_21_30,sn_31_40,sn_40,total_sn,grn_0_5,grn_6_10,grn_11_20,grn_21_30,grn_31_40,grn_40,total_grn,su_0_5,su_6_10,su_11_20,su_21_30,su_31_40,su_40,total_su,an_0_5,an_6_10,an_11_20,an_21_30,an_31_40,an_40,total_an,wr_0_5,wr_6_10,wr_11_20,wr_21_30,wr_31_40,wr_40,total_wr,gr_0_5,gr_6_10,gr_11_20,gr_21_30,gr_31_40,gr_40,total_gr,po_0_5,po_6_10,po_11_20,po_21_30,po_31_40,po_40,total_po,tr_0_5,tr_6_10,tr_11_20,tr_21_30,tr_31_40,tr_40,total_tr,fl_0_5,fl_6_10,fl_11_20,fl_21_30,fl_31_40,fl_40,total_fl,lf_0_5,lf_6_10,lf_11_20,lf_21_30,lf_31_40,lf_40,total_lf,prg_0_5,prg_6_10,prg_11_20,prg_21_30,prg_31_40,prg_40,total_prg,jck_0_5,jck_6_10,jck_11_20,jck_21_30,jck_31_40,jck_40,total_jck,ch_0_5,ch_6_10,ch_11_20,ch_21_30,ch_31_40,ch_40,total_ch,bar_0_5,bar_6_10,bar_11_20,bar_21_30,bar_31_40,bar_40,total_bar
45343.0,Buoy Line,11,11,28,20,0,0,0,0,0,4,6,5,0,0,0,15,0,5,2,0,0,0,7,8,8,0,0,0,0,16,0,1,1,0,0,0,2,0,0,2,0,0,0,2,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45343.0,Casablanca,10,9,28,0,0,60,20,0,0,13,13,4,0,0,0,30,4,2,0,0,0,0,6,30,8,0,0,0,0,38,0,0,0,2,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45344.0,Grandmas Garden,5,6,28,0,10,0,30,0,20,3,5,1,0,0,0,9,1,3,0,0,0,0,4,30,6,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45344.0,Pandora,16,16,27,30,60,0,0,10,20,7,13,9,1,0,0,30,7,3,2,0,0,0,12,6,8,0,0,0,0,14,0,2,7,0,0,0,9,0,11,8,0,0,0,19,0,1,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45345.0,Buoy Line,10,11,28,30,5,0,0,45,0,6,12,17,0,0,0,35,7,14,0,0,0,0,21,6,4,0,0,0,0,10,0,0,0,0,0,0,0,0,1,1,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45345.0,Casablanca,8,7,28,0,0,0,0,0,25,4,25,8,3,0,0,40,1,9,1,0,0,0,11,16,9,0,0,0,0,25,0,0,3,2,1,0,6,0,0,0,2,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45348.0,Grandmas Garden,8,8,27,0,30,20,0,40,0,12,12,8,1,0,0,33,0,0,0,0,0,0,0,23,14,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,2,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45348.0,Pandora,14,13,28,60,10,0,5,0,35,9,8,7,1,0,0,25,3,2,1,0,0,0,6,11,10,0,0,0,0,21,0,0,0,0,0,0,0,0,11,13,3,0,0,27,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45349.0,Casablanca,7,8,28,0,20,5,30,0,55,9,18,8,2,0,0,37,0,6,1,0,0,0,7,10,15,0,0,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,2,3,1,0,0,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45349.0,Manuels Wall,10,11,28,15,10,0,25,30,10,15,26,4,1,1,1,48,1,5,2,0,0,0,8,19,16,2,0,0,0,37,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
