date,dive_site,depth_start,depth_end,temperature_c,rug_5m,rug_10m,rug_15m,rug_20m,rug_25m,rug_30,total_pa,total_bu,total_da,total_sn,total_grn,total_su,total_an,total_wr,total_gr,total_po,total_tr,total_fl,total_lf,total_prg,total_jck,total_ch,total_bar
45343.0,Buoy Line,11,11,28,20,0,0,0,0,0,15,7,16,2,2,3,0,1,3,0,0,0,0,0,0,0,0
45343.0,Casablanca,10,9,28,0,0,60,20,0,0,30,6,38,2,1,1,0,3,3,0,0,0,0,0,0,0,0
45344.0,Grandmas Garden,5,6,28,0,10,0,30,0,20,9,4,36,0,1,0,0,2,2,0,0,0,0,0,0,0,0
45344.0,Pandora,16,16,27,30,60,0,0,10,20,30,12,14,9,19,2,1,0,1,0,0,0,0,0,0,0,0
45345.0,Buoy Line,10,11,28,30,5,0,0,45,0,35,21,10,0,5,0,0,3,1,0,0,2,0,0,0,0,0
45345.0,Casablanca,8,7,28,0,0,0,0,0,25,40,11,25,6,2,1,0,3,0,0,0,0,0,0,0,0,0
45348.0,Grandmas Garden,8,8,27,0,30,20,0,40,0,33,0,37,0,0,0,0,2,5,0,0,0,0,0,0,0,0
45348.0,Pandora,14,13,28,60,10,0,5,0,35,25,6,21,0,27,1,0,1,2,0,0,0,0,0,1,0,0
45349.0,Casablanca,7,8,28,0,20,5,30,0,55,37,7,25,0,3,0,0,3,6,1,0,0,0,0,0,0,0
45349.0,Manuels Wall,10,11,28,15,10,0,25,30,10,48,8,37,0,1,0,0,4,2,0,0,0,0,0,30,0,0
45350.0,Casablanca,9,8,28,0,40,10,30,10,10,41,0,38,1,0,4,0,4,6,0,0,0,0,0,0,0,0
45351.0,Grandmas Garden,4,4,28,0,15,5,10,5,0,74,6,26,0,0,0,0,5,0,0,0,0,0,1,0,0,0
45351.0,Grandmas Garden,6,4,28,0,20,10,20,0,0,31,4,26,0,0,0,0,8,2,0,0,0,0,0,0,0,0
45352.0,Buoy Line,11,10,28,20,25,10,5,0,0,21,2,27,0,2,6,0,6,3,0,0,0,0,0,0,0,0
45352.0,Buoy Line,11,10,28,5,30,15,30,20,30,23,5,16,0,5,3,0,2,2,0,0,0,0,0,0,0,0
45373.0,Buoy Line,11,10,30,0,0,0,0,0,40,29,10,12,0,0,5,1,21,1,0,0,0,0,0,0,0,0
45376.0,Buoy Line,12,10,30,0,0,0,0,0,0,24,5,12,1,1,5,3,12,1,0,0,0,0,0,0,0,0
45376.0,Casablanca,10,8,30,0,0,10,5,15,0,29,9,39,2,0,3,0,5,2,0,0,0,0,0,0,0,0
45377.0,Casablanca,7,11,32,5,0,0,10,0,0,20,6,42,3,1,1,0,5,4,0,0,0,0,0,0,0,0
45377.0,Buoy Line,10,10,30,0,0,10,0,0,25,45,5,34,0,1,3,0,22,4,0,0,0,0,0,0,0,0
